,Brand,Type,Scent,Visuals,Colors,Gender*Sex,URL,Other Info,Group
159,Luxury pro,sugar wax,,butterfly ,"white, orange, red",,https://m.media-amazon.com/images/I/41Di3u0LCmL._SX300_SY300_QL70_FMwebp_.jpg,not tested on animals its organic no professional skills required,hair removal
160,VCF,Vaginal Contraceptive Film,,silhouette of woman's lower half of body ,"pink, blue, white",Female,https://www.amazon.com/VCF-Vaginal-Contraceptive-Single-Sealed/dp/B000GGT8X8,hormone free,contraception & safe sex
161,Sally Hanson,wax strip kit,,"Smiling woman, flower, coconut","purple, orange",,https://m.media-amazon.com/images/I/81Pw1bSv5SL._SX679_.jpg,"infused with coconut, marula oil, mentions ""bikini"" area",hair removal
162,Ajoura Wax Beans,waxing beads,,"cartoon female characters, one male, coconuts, palm trees, tropical beach","pink, brown, yellow",,https://m.media-amazon.com/images/I/71n72nRUgZL._SX679_.jpg,"emphasizes beach skin areas, bikini, etc.",hair removal
163,Bella Verde waxing kit ,"waxing beads, melting pot",,Colorful beads,"blue, green, pink",,https://m.media-amazon.com/images/I/51vpmOdt21L._SX300_SY300_QL70_FMwebp_.jpg,,hair removal
164,Nad's Men Wax Strips,waxing strips,,"Male back, male chest, male hands",light blue,Male,https://m.media-amazon.com/images/I/81+7b4TIQML._SX679_.jpg,,hair removal
165,Nad's Facial waxing strips,waxing strips,,"a woman, shea butter tree nuts","white, green, brown",Female,https://m.media-amazon.com/images/I/71oNHsvAzhL._SX679_.jpg,"quick, easy to use, made with shea butter, all skin types, hypoallergenic",hair removal
166,Schick Hydro Silk Sugar Wax Roller,waxing with a roll on applicator,,"Female legs, crotch","pink, turquoise, light blue",,https://m.media-amazon.com/images/I/41SpSP8NZTL._SX300_SY300_QL70_FMwebp_.jpg,"roll-on wax with microwave, mentions curves",hair removal
167,Trojan Naturalamb,Latex condoms ,,Gold crown,"Gold, brown, dark grey",,https://target.scene7.com/is/image/Target/GUEST_aa1cf0a0-b344-4b50-848e-3c1da95c1341?wid=1200&hei=1200&qlt=80&fmt=webp,,contraception & safe sex
168,Wisp,Levonorgestrel ,,,Pink,Female,https://hellowisp.com/products/plan-b,"Single emergency contraceptive pill $12, can also be purchased in bulk",contraception & safe sex
169, Intimate Kit ,Safe sex kit ,,,"white, black only ",,https://www.amazon.com/Intimate-Kit-Prophylactic-Technology-Intimacy/dp/B09M28QNXW,"Targeted to all gender*sexes, kit with essentials safe sex among individuals including condom, oral dam",contraception & safe sex
170,Redken,Frizz Dismiss Anti-Static Oil Mist ,,,"Orange, black",,https://www.redken.com/dw/image/v2/AAFM_PRD/on/demandware.static/-/Sites-ppd-redken-master-catalog/default/dw4fb98468/images/pdp/redken-frizz-dismiss-anti-static-hair-oil-mist.jpg?sw=1050&sh=1050&sm=cut&sfrm=png&q=90,"Ideal enhanced smoothness, frizz control",hair care
171,Harklinikken,Hair Mask,,,"White, silver",,https://harklinikken.com/cdn/shop/files/BYRDIE-AWARD-PDP.jpg?v=1718872431,Features olive oils,hair care
172,Dove,Scalp tonic,,,"White, green",,https://www.kroger.com/product/images/thumbnail/front/0007940047448,"Contains jojoba oil, aloe vera",hair care
173,Nécessaire ,Shampoo,,,"Peach, black",,https://necessaire.com/cdn/shop/products/01_THESHAMPOO_PDP_nobadge_651afbb8-b1fc-4e10-b8ae-93b8f803c9fe.jpg?v=1680717455&width=1400,"Contains hyaluronic acid, vitamin B3, vitamin B5",hair care
174,Braun series 9,Electric Razor,,Male face shaving,"silver, black",,https://a.co/d/jg6yKhQ,,hair removal
175,Panasonic,electric razor,,,"black, gray",,https://a.co/d/5wOilzL,,hair removal
176,Julie,Emergency Contraceptive,,,"Blue, pink, orange",Female,https://i5.walmartimages.com/seo/Julie-Emergency-Contraceptive-Pill-1-Count_a2a00c09-d39f-48c6-8b0e-9b859cd173c8.f7dcfea693229eaff6d2d112b9185cf7.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,contraception & safe sex
177,Notty Boy,Condom variety pack,,Explosion icon,"red, orange, blue",Male,https://www.amazon.com/NottyBoy-Condoms-Variety-Lubricated-Studded/dp/B07ZX1NJHP,"marketing promises male user that female partner will approve of or enjoy this option, also marketed as sustainably minded",contraception & safe sex
178,Artctic Fox,Hair Dye,,Fox,"White, Green, Pink",Female,https://www.sallybeauty.com/hair-color/shop-by-type/semi-permanent-hair-color/pastel-hour-semi-permanent-hair-color/ARTFOX3.html?_gl=1*1qlcnoj*_up*MQ..&gclid=CjwKCAjw1920BhA3EiwAJT3lSZmREaYH0REmtEBFvC5rhVmhD7vSnoXi1KZJCVasa8S3RtNxT8uehRoCq38QAvD_BwE,"Cruelty free, donate 15% of profits",hair care
179,Hello Cake ,Lube,,,"light purple, dark purple, white",Female,https://www.walmart.com/ip/Hello-Cake-Water-Based-Organic-Vaginal-Lubricant-3-3-fl-oz/1661660416,specifically mentions product to be beneficial women ,contraception & safe sex
180,Intimate Rose,personal lube,,purple rose,"purple, white",Female,https://www.intimaterose.com/products/personal-water-based-lubricant?variant=22571478659&gad_source=1&gclid=Cj0KCQjw-uK0BhC0ARIsANQtgGN8bpaZl8XPp57qmd4pU2zrNEI8UxuB1y4B5SvubHOq4Px7c02jjIEaAqJNEALw_wcB,,contraception & safe sex
181,Union,Small size condom,,,"brown, gray",Male,https://www.amazon.com/UNION-SNUG-Snug-Fitting-Premium-12-Count/dp/B09RY659XB,"market to variety of body sizes with respectful naming (i.e ""snug"" is smallest size)",contraception & safe sex
182,DoMe,stimulating gel ,,legs,"red, white, black",,https://www.amazon.com/Premium-Female-Arousal-Gel-Intensifies/dp/B013854BQM,,contraception & safe sex
183,Aveeno,Conditioner,Oat Milk,Oat sprigs,"Beige, green ",,https://m.media-amazon.com/images/I/41SFpl17fCL._AC_.jpg,,hair care
184,"Bath, Body Works",Car fragrance,Ocean,,"Light blue, white, black",Male,https://www.bathandbodyworks.com/p/ocean-car-fragrance-refill-028000734.html,"I thought that this was neutral at first, but it is categorized in men’s section.",air fresheners
185,Suave,Conditioner,Ocean Breeze,"Ocean spray, palm fronds","Blue, yellow, green",,https://salsify-ecdn.com/images/9d38131511d954e134418ba4ddea283d.jpg,,hair care
186,Folkculture,Diffusable Essential Oils,Ocean Salt,"Whale, Hand, Stars","Amber, Black, Blue",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
187,Folkculture,Diffusable Essential Oils,Ocean Salt,"Whale, Hand, Stars","Amber, Black, Blue",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
188,Folkculture,Diffusable Essential Oils,Ocean Salt,"Whale, Hand, Stars","Amber, Black, Blue",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
189,Folkculture,Diffusable Essential Oils,Ocean Salt,"Whale, Hand, Stars","Amber, Black, Blue",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
190,Folkculture,Diffusable Essential Oils,Ocean Salt,"Whale, Hand, Stars","Amber, Black, Blue",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
191,Folkculture,Diffusable Essential Oils,Ocean Salt,"Whale, Hand, Stars","Amber, Black, Blue",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
192,OdoBan,Air Freshener - Spray,Orange,Orange fruit,"Orange, Green, White",,https://www.homedepot.com/p/OdoBan-10-oz-Orange-Real-Citrus-Air-Freshener-Spray-Citrus-Oil-Natural-Air-Freshener-Room-Deodorizer-Toilet-Spray-2-Pack-9793D70-10A2/318042489?source=shoppingads&locale=en-US&srsltid=AfmBOoquUNKqySUrVUTDgtCEzGwkDDmDv2mHe2qTWNv8RDMvlYwlKEgafrQ,,air fresheners
193,Citrus Magic,Air freshener spray,Orange Blast,Oranges,"Orange, white",,https://www.amazon.com/Citrus-Magic-Natural-Eliminating-Freshener/dp/B00DYVP36I?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,,air fresheners
194,Folkculture,Diffusable Essential Oils,Orange Blossom,"Cow Skull, Moon Phases","Amber, Pink, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
195,Folkculture,Diffusable Essential Oils,Orange Blossom,"Cow Skull, Moon Phases","Amber, Pink, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
196,Folkculture,Diffusable Essential Oils,Orange Blossom,"Cow Skull, Moon Phases","Amber, Pink, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
197,Folkculture,Diffusable Essential Oils,Orange Blossom,"Cow Skull, Moon Phases","Amber, Pink, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
198,Folkculture,Diffusable Essential Oils,Orange Blossom,"Cow Skull, Moon Phases","Amber, Pink, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
199,Folkculture,Diffusable Essential Oils,Orange Blossom,"Cow Skull, Moon Phases","Amber, Pink, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
200,Tussy,deodorant,Original Fresh Spice,,"Red, white, blue",,https://www.amazon.com/Tussy-Roll-Antiperspirant-Deodorant-Original/dp/B001B2S2PG,,deodorants
201,Febreze Car,Car Air Freshener,Paradise,"Car, green flower, droplets","Black, green, white",,https://www.amazon.com/Febreze-Freshener-Unstopables-Paradise-Eliminator/dp/B08QG2L3FQ,,air fresheners
202,Febreze Car,Car Air Freshener,Paradise,"Car, green flower, droplets","Black, green, white",,https://www.amazon.com/Febreze-Freshener-Unstopables-Paradise-Eliminator/dp/B08QG2L3FQ,,air fresheners
203,TRESemmé,Hair Spray,"Pear, apple, peach",,"Black, gold",,https://cdn.sanity.io/images/4nopozul/tresemme-staging-us/91e08f816e01e8564db2c97daf30e6772988ff03-5000x5000.tif?w=450&h=450&fit=fill&auto=format&q=80&bg=fff,"Ideal eliminating humidity, achieve maximum hold",hair care
204,Classic Erotica,Feminine Spray,Peony,small flower,"white, pink",Female,https://www.pinkcherry.com/cdn/shop/products/media_984f284c-0811-4a40-80fe-9a896ff3c0b8.jpg?v=1636807832&width=990,,contraception & safe sex
205,Classic Erotica,Feminine Spray,Peony,small flower,"white, pink",Female,https://www.pinkcherry.com/cdn/shop/products/media_984f284c-0811-4a40-80fe-9a896ff3c0b8.jpg?v=1636807832&width=990,,contraception & safe sex
206,Lume,Solid Stick Deodorant ,Peony Rose,,"Pink, White, Orange",,https://lumedeodorant.com/products/peony-rose-solid-deodorant-stick,,deodorants
207,Meguiar,Car Air Freshener,Piña Colada,"Pineapple, clouds","Yellow, white, black",,https://www.meguiarsdirect.com/meguiars-whole-car-air-refresher-pina-colada-scent.html,,air fresheners
208,Fa,deodorant,Pink Passion (Rose),Flowers,"Pink, white",,https://www.facosmetics.com/fa-roll-on-deodorants/pink-passion/,,deodorants
209,Folkculture,Incense Sticks,Pixie Island,"Trees, Dragonfly, Moon, Eye","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
210,Folkculture,Incense Sticks,Pixie Island,"Trees, Dragonfly, Moon, Eye","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
211,Folkculture,Incense Sticks,Pixie Island,"Trees, Dragonfly, Moon, Eye","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
212,Folkculture,Incense Sticks,Pixie Island,"Trees, Dragonfly, Moon, Eye","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
213,Folkculture,Incense Sticks,Pixie Island,"Trees, Dragonfly, Moon, Eye","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
214,Folkculture,Incense Sticks,Pixie Island,"Trees, Dragonfly, Moon, Eye","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
215,Secret,Deodoran,Powder fresh,"Pink flower, blue flower","Pastel pink, pink, pastel blue",,https://www.cvs.com/shop/secret-antiperspirant-roll-on-powder-fresh-1-8-oz-prodid-708156,,deodorants
216,Suave,Deodorant,Powder fresh,Pink ribbon,"Pink, light pink, light blue",Female,https://www.amazon.com/Suave-Powder-Roll-Deodorant-2-7/dp/B0002FCB3M,,deodorants
217,Mitchum,deodorant,Powder fresh,,"Pastel green, light yellow, pink",Female,https://www.walmart.com/ip/Mitchum-Women-Powerful-Anti-Sweat-Antiperspirant-Deodorant-Roll-On-Powder-Fresh-1-7oz/35067465,,deodorants
218,Sol De Janiero ,Aluminum-Free Deodorant ,Rio Deo,,"Tangerine, White, Grey ",,https://soldejaneiro.com/products/rio-deo-aluminum-free-deodorant,,deodorants
219,L'Oreal Paris,Weightless Blow Dry Primer,Rose,,"Purple, black",,https://www.lorealparisusa.com/-/media/project/loreal/brand-sites/oap/americas/us/products/hair-style/hair-protectant/everpure-sulfate-free-weightless-blow-dry-primer-heat-protectant/sulfate-free-weightless-blow-dry-primer-heat-protectant/071249650257-t1.png?rev=436c20642bcc46acbab3fe5d3629eda4,Provides up to 450F heat protection,hair care
220,Folkculture,Diffusable Essential Oils,Rose Plum,"Flowers, Moon, Dragonfly","Amber, Yellow, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
221,Folkculture,Diffusable Essential Oils,Rose Plum,"Flowers, Moon, Dragonfly","Amber, Yellow, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
222,Folkculture,Diffusable Essential Oils,Rose Plum,"Flowers, Moon, Dragonfly","Amber, Yellow, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
223,Folkculture,Diffusable Essential Oils,Rose Plum,"Flowers, Moon, Dragonfly","Amber, Yellow, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
224,Folkculture,Diffusable Essential Oils,Rose Plum,"Flowers, Moon, Dragonfly","Amber, Yellow, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
225,Folkculture,Diffusable Essential Oils,Rose Plum,"Flowers, Moon, Dragonfly","Amber, Yellow, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
226,MIELLE,Hair & Scalp strengthening oil,Rosemary Mint,,"green, pink, brown",Female,https://www.ulta.com/p/rosemary-mint-scalp-hair-strengthening-oil-pimprod2033947?sku=2601408&cmpid=ps_non%21google_PSG_MassHair_Mielle&utm_source=google&utm_medium=paidsearch&CAWELAID=330000200003131640&CATRK=SPFID-1&CAAGID=156917934671&CATCI=kwd-821374668475&CAPCID=704572086675&CADevice=c&gad_source=1&gclid=Cj0KCQjw1qO0BhDwARIsANfnkv8Zn5yvyfR-qnkmr8VQHygPMYQWZiMdzLh8GWTi4FmpKXAEtvXJZ9UaAmq1EALw_wcB,,hair care
227,Salt & Stone,Natural Deodorant ,"Santal, Vetiver",,"Tan, Black ",,https://www.saltandstone.com/products/natural-deodorant?variant=42738010095866&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopyRSIvfQ5IipuJnr4NOCQqla0izNC4qv8dNxl9ZcmEJZVhWOtSnjk,,deodorants
228,Dior,Stick Deodorant,Sauvage,,"Black, White",,https://www.dior.com/en_us/beauty/products/sauvage-F001802000.html?gad_source=4&gbraid=0AAAAADyjeu0NdfOcSXX3eT8veBXct4aq1&gclid=Cj0KCQjws560BhCuARIsAHMqE0HqI9X_TnxiEawIctFiJQ__8EFjfEyDTvhtNbj7ltIIzGJTnSv7WXUaAvMrEALw_wcB&gclsrc=aw.ds,,deodorants
229,Wiling Revolution,Hairspray ,Sea Salt,Paint splatter,"Turquoise, black, white",Male,https://images.app.goo.gl/M3xBTvZMgrFBKn5n6,,hair care
230,KoulaWax Hard Wax Beads,waxing beads,"Sea salt, Surf","bikini cut out, beads, woman's hip","blue, black, peach",Female,https://m.media-amazon.com/images/I/613WcatZ2SL._SX679_.jpg,"emphasizes beach skin areas, bikini, etc.",hair removal
231,Saltair,Serum Deodorant ,Seascape,,"Light Blue, White",,https://saltair.com/products/seascape-serum-deodorant?srsltid=AfmBOoq2CHHPSBDufw5AWwpUL6gRgOPEQ-9XsM6FR-zR-3VDnHGo6oLDkzg&variant=43320562188495,,deodorants
232,MELANIN ,Hair Gel ,Shea Butter,,"White, Black, Cream ",Female,https://melaninhaircare.com/products/twist-elongating-style-cream,"No Sulfates, No Parabens, No Mineral Oils, No Formaldehydes, No Phthalates ",hair care
233,Garnier,Curl Shape Spray Gel,"Shea Butter, coconut","Coconut, water","Green, purple, white",,https://www.garnierusa.com/-/media/project/loreal/brand-sites/garnier/usa/us/products/fructis-style/curl/2023/curl-shape/front-pack-shot-jpg.jpg?w=500&rev=9c47f0b5ee554daeaf7b3925f8174308&hash=58D5D1165B243BCA917785BD4313741F,"Provides shiny, defined curls",hair care
234,Mitchum,Deodorant,Shower Fresh,,"green, purple, pink, white",Female,https://www.ebay.com/itm/325620202773?chn=ps&mkevt=1&mkcid=28&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,,deodorants
235,Athena Club,Deodorant,Solar Disco ,,"White, Blue",,https://athenaclub.com/products/all-day-deo?otp=1&gad_source=1&gbraid=0AAAAADDVwxC1DQtKY5_LKwyJcLb1v1YD_&gclid=Cj0KCQjws560BhCuARIsAHMqE0GNNCGTLzVuzYhiXuuCd7ODTok0wlVHuBPwjVBgyYmjwHKSPiRcvVwaAtYoEALw_wcB&variant=45551134572828,,deodorants
236,Sensuva,Throat Numbing Spray,Spearmint,,"light green, silver",Female,https://www.pinkcherry.com/cdn/shop/files/media_fd42e3bb-7b72-477d-94da-c07ce77ea5e0.jpg?v=1712208787&width=990,,contraception & safe sex
237,Enviroscent,Plug-In Air Freshener,"Spring Water, Lotus",Lotus flower,"Blue, Green",,https://m.media-amazon.com/images/I/71Hs4cUvskL._AC_SX425_.jpg,,air fresheners
238,Air Spencer,Air Freshener - Car,Squash Scent,,"Black, blue, white",,https://www.amazon.com/Air-Spencer-CS-X3-Freshener-Refill/dp/B00FFRSWYE,,air fresheners
239,Zumiez,Hanging air freshener,Strawberry,Pink boots,"Pink, light pink, light blue",Female,https://www.zumiez.com/make-scents-bootin-air-freshener.html,"Pink appeared to be women as they are women’s boots, but it is in men’s section ",air fresheners
240,Sensuva,Nipple Balm,"Strawberry, Mint",Bare female chest,"white, light blue",,https://www.pinkcherry.com/cdn/shop/products/media_984f284c-0811-4a40-80fe-9a896ff3c0b8.jpg?v=1636807832&width=990,,contraception & safe sex
241,Sensuva,Nipple Balm,"Strawberry, Mint",Bare female chest,"white, light blue",,https://www.pinkcherry.com/cdn/shop/products/media_984f284c-0811-4a40-80fe-9a896ff3c0b8.jpg?v=1636807832&width=990,,contraception & safe sex
242,Suave,Shampoo,"Strawberry, peach","Strawberries, flowers ","Pink, red, green",,https://www.suave.com/cdn/shop/files/65744884-079400495983-01.png.rendition.767.767.png?v=1698338765,"Vitamin E infused shampoo cleanses, refreshes hair",hair care
243,Vegamour,GRO Hair serum,herbal,,"Light pink, gold, brown",Female,https://vegamour.com/products/gro-hair-serum-3-pack?utm_source=google&utm_medium=cpc&utm_campaign=17720104969&utm_content=&utm_term=20off--&gad_source=4&gclid=Cj0KCQjw1qO0BhDwARIsANfnkv8N1sdDGlJAIRiobuARXpyJKHLpRwPPwnoec8-eaLBkK-aOdH6L-5kaAqxrEALw_wcB,,hair care
244,Meguiar,Car Air Freshener,Summer Breeze,"Sky with clouds, a breeze","Blue, white",,https://www.meguiarsdirect.com/meguiars-whole-car-air-re-fresher-summer-breeze-scent.html,,air fresheners
245,Nair,Face Cream,Sweet Almond,"Almonds, leaves","beige, blue, yellow",,https://target.scene7.com/is/image/Target/GUEST_3ab857c3-2f92-4fde-b916-7c14ba061ab9?wid=1200&hei=1200&qlt=80&fmt=webp,none,hair removal
246,Avon,deodorant,Sweet Honesty,,"Pink, white",Female,https://joesbeauty.com/roll-on-women-sweet-honesty-by-avon-26-oz-21289.html,,deodorants
247,Neutrogena,Conditioner ,tea tree,,"Green, black",,https://ntg-catalog.imgix.net/products/4067805-2023-carousel-1-2.webp?fm=jpg&auto=format&w=1200&h=1443&fit=crop,"Ideal dry, uncomfortable scalp, hair",hair care
248,OGX,Conditioner,"tea tree, mint",Leaves,"Bright green, gold",,https://i5.walmartimages.com/seo/Hydrating-Tea-Tree-Mint-Scalp-Conditioner_ec85eb8e-a6db-4a8c-bcc7-7d773228a2c9.efca68435899d839dd9c093c8c0d00c3.jpeg,,hair care
249,Renpure,Conditioner,"Tea tree, rosemary","Flower, leaves","pale green, light green, dark green",,https://target.scene7.com/is/image/Target/GUEST_cf0c4a7b-82f1-4240-98d4-a756d23b6c70?wid=488&hei=488&fmt=pjpeg,,hair care
250,Folkculture,Incense Sticks,Tree of Life,"Tree, Moth, Sun","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
251,Folkculture,Incense Sticks,Tree of Life,"Tree, Moth, Sun","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
252,Folkculture,Incense Sticks,Tree of Life,"Tree, Moth, Sun","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
253,Folkculture,Incense Sticks,Tree of Life,"Tree, Moth, Sun","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
254,Folkculture,Incense Sticks,Tree of Life,"Tree, Moth, Sun","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
255,Folkculture,Incense Sticks,Tree of Life,"Tree, Moth, Sun","Black, Green, Gold",,https://m.media-amazon.com/images/I/81zMOxypOyL._AC_SL1500_.jpg,,air fresheners
256,Durex Tropical,Condom,Tropical,"Fruit: strawberry,  orange, banana","Blue, green, yellow",Male,https://www.google.com/imgres?q=durex%20tropical&imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F717sDKW8EBL._AC_UF1000%2C1000_QL80_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FDurex-Tropical-Flavored-Strawberry-Lubricated%2Fdp%2FB0745YLRPG&docid=T4b4QRoCtTMZ9M&tbnid=eppfFBV135vuYM&vet=12ahUKEwjn06S1mZOHAxXJEDQIHWWoDOQQM3oECBYQAA..i&w=542&h=1000&hcb=2&ved=2ahUKEwjn06S1mZOHAxXJEDQIHWWoDOQQM3oECBYQAA,,contraception & safe sex
257,Better Natured,Hair Dye,Tropical fruity,Floral pattern,"Black, Red, White",Female,https://www.sallybeauty.com/hair-color/shop-by-type/permanent-hair-color/4vv-medium-intense-violet-permanent-liqui-cr%C3%A8me-hair-color/SBS-019368.html?_gl=1*1yuv4nk*_up*MQ..&gclid=CjwKCAjw1920BhA3EiwAJT3lSZmREaYH0REmtEBFvC5rhVmhD7vSnoXi1KZJCVasa8S3RtNxT8uehRoCq38QAvD_BwE,"Vegan, plant milk blend, clean",hair care
258,Citrus Magic,Air freshener spray,Tropical Lemon,Lemons,"Yellow, white",,https://www.amazon.com/Citrus-Magic-Natural-Eliminating-Freshener/dp/B00FHXDVVK?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=ATVPDKIKX0DER&th=1,,air fresheners
259,T3,"AireBrush One-Step Smoothing, Volumizing Hair Dryer Brush",,,"white, black, rose gold",Female,https://www.ulta.com/p/airebrush-one-step-smoothing-volumizing-hair-dryer-brush-pimprod2040634?sku=2615449,,hair care
260,Tom's,Aluminum Free Deodorant,,,"Blue, green, white",,https://www.tomsofmaine.com/products/deodorant-antiperspirant/deodorant/unscented,,deodorants
261,Doc Johnson Golden Girl,Anal Jelly Lubricant,,Female butt,"Photo, yellow",Female,https://www.pinkcherry.com/cdn/shop/products/media_d5b6e12e-e095-427f-bee9-a9c089cc9c68.jpg?v=1571482857&width=990,,contraception & safe sex
262,Foria Wellness,Anal Relaxation Suppositories,,Flowers,Blush Pink,Female,https://www.foriawellness.com/cdn/shop/files/Intimacy-4-box-product-emerging-straight-on--1430_1600x.png?v=1687551314,,contraception & safe sex
263,Intimate Earth,"Anal Relaxing Serum, Gel",,,"Yellow, Gold, brown",,https://www.pinkcherry.com/cdn/shop/products/media_f386d09d-a5cf-4a44-a673-89cb86bbb945.jpg?v=1571484172&width=990,"No specific gender*sex indiciated, though traditional type of used as well as colors, design would speak more to females",contraception & safe sex
264,Sensuva,Anti-Bacterial Toy Cleaner,,,"White, Silver, Black",,https://www.pinkcherry.com/cdn/shop/products/media_b60e2587-42d0-4a22-9ea1-fe552c4b24d2.jpg?v=1636525837,Doesn't seem to be geared toward specific gender*sex,contraception & safe sex
265,System Jo,Clitoral Stimulant Gel,,,"Bright Pink, White",Female,https://www.pinkcherry.com/cdn/shop/products/media_ca468e20-f754-440f-9da8-34d86898bdb1.jpg?v=1571485058&width=990,,contraception & safe sex
266,Nad's,Cream,,Bare Male chest,"white, gray, blue",Male,https://target.scene7.com/is/image/Target/GUEST_6ba85c50-d1cb-4e90-9c04-6442d3a80574?wid=1200&hei=1200&qlt=80&fmt=webp,none,hair removal
267,PUPUPE,Cream,,,"white, red",,https://m.media-amazon.com/images/I/71E2BtxH5IL._SX679_.jpg,none,hair removal
268,SYABO,Cream,,,"mint, black",,https://m.media-amazon.com/images/I/51ZtjpesEsL._SX679_.jpg,none,hair removal
269,OUAI,CURL CRÈME,,,"Peach, black",,https://images.accentuate.io/?image=https%3A%2F%2Fcdn.accentuate.io%2F4828525658182%2F1614036540558%2FProduct-Curl-Creme-1-1600x1620.jpg%3Fv%3D0&c_options=w_1080,"Defines curls, tames frizz, adds shine",hair care
270,Mitchum,Deodorant,,,"green, light blue, white",Male,https://www.walgreens.com/store/c/mitchum-power-gel-anti-perspirant--deodorant-unscented/ID=prod3335494-product?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,,deodorants
271,Mitchum,deodorant,,,"Dark Green, light blue, yellow",Male,https://www.walmart.com/ip/Mitchum-Men-Powerful-Anti-Sweat-Antiperspirant-Deodorant-Roll-On-Unscented-3-4-oz/34997900,,deodorants
272,Ban,Deodorant,,"rabbit, droplets","Lime green, dark green, light blue",,https://www.cvs.com/shop/ban-24-hour-antiperspirant-deodorant-roll-on-unscented-3-5-oz-prodid-356592,,deodorants
273,Clinique,deodorant,,,"Pastel green, black",,https://www.clinique.com/product/1686/5678/skincare/hand-body-care/antiperspirant-deodorant-roll-on?size=75ml,,deodorants
274,Eucerin,deodorant,,,"White, red, pink",,https://www.perfumesclub.us/en/eucerin/ph5-desodorante-roll-on/p_27697,,deodorants
